Nome,ID,Account di fatturazione,ID account di fatturazione,Azioni,
Trattoria 008,trattoria-008-1559121730406,La fatturazione è disattivata,—,,
LOFT01,loft01-434422,Il mio account di fatturazione,0192E5-83685A-0C472B,,
Foschini Pavimenti,foschini-pavimenti,Il mio account di fatturazione,0192E5-83685A-0C472B,,
test-giftcard,test-giftcard-ec0b1,La fatturazione è disattivata,—,,
Ristorante Xiao7,ristorante-xiao7,La fatturazione è disattivata,—,,
Casafunebre,casafunebre,Il mio account di fatturazione,0192E5-83685A-0C472B,,
ApiABP,apiabp-157714,La fatturazione è disattivata,—,,
Bottiglia,bottiglia-221315,La fatturazione è disattivata,—,,
Sushi Kai,sushi-kai-1575901744821,La fatturazione è disattivata,—,,
Dinzu Roma Cassia,dinzu-roma-cassia,La fatturazione è disattivata,—,,
5stelle,stelle-492714,Account Fatturazione Places,01123A-43AB65-21359C,,
Pizzeria Lago Grande,pizzeria-lago-gr-1509793467805,La fatturazione è disattivata,—,,
Dinzu Roma,dinzu-roma-1553012495458,La fatturazione è disattivata,—,,
Dinzu,dinzu-1532727343578,La fatturazione è disattivata,—,,
Excel Solution,excel-solution-1513121115120,La fatturazione è disattivata,—,,
Yama Sushi,yama-sushi-1553182775977,La fatturazione è disattivata,—,,
Treffebi,treffebi,La fatturazione è disattivata,—,,
Soundjcity,soundjcity-1734943842433,La fatturazione è disattivata,—,,
Ralfier,ralfier-1511221445453,La fatturazione è disattivata,—,,
Trattoria 008,trattoria-008-1559121764637,La fatturazione è disattivata,—,,
Trattoria 008,trattoria-008-1559121710898,La fatturazione è disattivata,—,,
